key,value,category
danceability,0.6393017069184674,pop
danceability,0.7183527671423597,rap
danceability,0.5205479701070491,rock
danceability,0.7132872550921435,latin
danceability,0.6701793408212116,r&b
danceability,0.6550408737382095,edm
energy,0.7010278445614673,pop
energy,0.6507084058475461,rap
energy,0.7328132700464552,rock
energy,0.7083124684772065,latin
energy,0.5909343399005709,r&b
energy,0.8024759225550222,edm
speechiness,0.07399126566188487,pop
speechiness,0.19750588235294114,rap
speechiness,0.05769567764088063,rock
speechiness,0.10265315227934045,latin
speechiness,0.11679213772785858,r&b
speechiness,0.08669548237630316,edm
acousticness,0.17079366716542582,pop
acousticness,0.19247867936999652,rap
acousticness,0.145188901539083,rock
acousticness,0.21092044900096996,latin
acousticness,0.25990374844411707,r&b
acousticness,0.08150359532351481,edm
instrumentalness,0.05987629295805339,pop
instrumentalness,0.07599720175078316,rap
instrumentalness,0.0624173257725712,rock
instrumentalness,0.04444698068089234,latin
instrumentalness,0.02892032691769472,r&b
instrumentalness,0.21857789519609466,edm
